triplet_id,language,category,flattening,cos_gap__E5-large,cos_gap__E5-multi,cos_gap__LaBSE,cos_gap__MiniLM-multi,cos_gap__TF-IDF,cos_gap__bge-m3,sim_anchor_far__E5-large,sim_anchor_far__E5-multi,sim_anchor_far__LaBSE,sim_anchor_far__MiniLM-multi,sim_anchor_far__TF-IDF,sim_anchor_far__bge-m3,sim_anchor_near__E5-large,sim_anchor_near__E5-multi,sim_anchor_near__LaBSE,sim_anchor_near__MiniLM-multi,sim_anchor_near__TF-IDF,sim_anchor_near__bge-m3
es_ser2_043,spanish,ser_vs_estar,partial,-0.014991044998168945,-0.015535056591033936,-0.08699548244476318,-0.017665505409240723,-0.0652391776152208,-0.018200933933258057,0.9969074726104736,0.9970871806144714,0.9987952709197998,0.9988322257995605,0.8958124000197545,0.9924687743186951,0.9819164276123047,0.9815521240234375,0.9117997884750366,0.9811667203903198,0.8305732224045337,0.974267840385437
es_ser2_044,spanish,ser_vs_estar,partial,-0.015625298023223877,-0.016577601432800293,-0.10829854011535645,-0.19164860248565674,-0.1859355868084216,-0.07103180885314941,0.998343825340271,0.9958418011665344,0.9985342025756836,0.9992302656173706,0.98137994385228,0.9890565872192383,0.9827185273170471,0.9792641997337341,0.8902356624603271,0.8075816631317139,0.7954443570438584,0.9180247783660889
es_ser2_045,spanish,ser_vs_estar,partial,-0.016535162925720215,-0.009440958499908447,-0.06207340955734253,-0.011312425136566162,-0.018950217533927338,-0.007614493370056152,0.9955010414123535,0.9917399883270264,0.9781439900398254,0.9902489185333252,0.9663398805555778,0.9945774078369141,0.9789658784866333,0.9822990298271179,0.9160705804824829,0.978936493396759,0.9473896630216505,0.9869629144668579
es_ser2_046,spanish,ser_vs_estar,partial,-0.017283260822296143,-0.02028524875640869,-0.13739681243896484,-0.1756337285041809,-0.20092271297498387,-0.06039130687713623,0.9864765405654907,0.9912937879562378,0.9944243431091309,0.9960353374481201,0.9533976637285396,0.9669442176818848,0.9691932797431946,0.9710085391998291,0.857027530670166,0.8204016089439392,0.7524749507535557,0.9065529108047485
es_ser2_047,spanish,ser_vs_estar,partial,-0.005735874176025391,-0.018932461738586426,-0.07980287075042725,-0.009192585945129395,-0.1511882277221266,-0.009892523288726807,0.9922511577606201,0.9932315349578857,0.992974579334259,0.9878991842269897,0.9688789622738943,0.9948856234550476,0.9865152835845947,0.9742990732192993,0.9131717085838318,0.9787065982818604,0.8176907345517677,0.9849931001663208
es_ser2_048,spanish,ser_vs_estar,partial,-0.009610176086425781,-0.007234930992126465,-0.05927860736846924,-0.031178653240203857,-0.014713864335037852,-0.007350265979766846,0.9936342239379883,0.9950934648513794,0.9975744485855103,0.9965787529945374,0.9758649614045924,0.9940494298934937,0.9840240478515625,0.9878585338592529,0.938295841217041,0.9654000997543335,0.9611510970695546,0.9866991639137268
es_ser2_049,spanish,ser_vs_estar,partial,-0.015370726585388184,-0.02251279354095459,-0.09579479694366455,-0.1430436372756958,-0.29199646503103416,-0.045973241329193115,0.9966562986373901,0.9966113567352295,0.9940599203109741,0.9976502656936646,0.9673466937966291,0.9898902177810669,0.981285572052002,0.9740985631942749,0.8982651233673096,0.8546066284179688,0.6753502287655949,0.9439169764518738
es_ser2_050,spanish,ser_vs_estar,partial,-0.015018820762634277,-0.0196039080619812,-0.05076169967651367,-0.1036110520362854,-0.2598123942692758,-0.031195402145385742,0.9977524280548096,0.9970253705978394,0.9968355894088745,0.9990165829658508,0.9639091161994784,0.9963958263397217,0.9827336072921753,0.9774214625358582,0.9460738897323608,0.8954055309295654,0.7040967219302026,0.9652004241943359
es_ser2_052,spanish,ser_vs_estar,partial,-0.011008620262145996,-0.010428309440612793,-0.1056070327758789,-0.0428544282913208,-0.23879791455646338,-0.01647895574569702,0.9965961575508118,0.9955549240112305,0.9977231025695801,0.9968471527099609,0.9613120822068236,0.9949910044670105,0.9855875372886658,0.9851266145706177,0.8921160697937012,0.9539927244186401,0.7225141676503603,0.9785120487213135
es_ser2_053,spanish,ser_vs_estar,partial,-0.06104540824890137,-0.023911118507385254,-0.17188328504562378,-0.2290990948677063,-0.3677196209674779,-0.07812917232513428,0.9959101676940918,0.9944809079170227,0.9974483251571655,0.996300220489502,0.9589957089452177,0.9780910015106201,0.9348647594451904,0.9705697894096375,0.8255650401115417,0.7672011256217957,0.5912760879777398,0.8999618291854858
