triplet_id,model,anchor_es_to_anchor_en,far_es_to_far_en,anchor_es_to_far_en,far_es_to_anchor_en,anchor_es_to_far_es,anchor_en_to_far_en,flattening
es_ser_013,E5-multi,0.8924679160118103,0.9537107348442078,0.9232840538024902,0.8869619965553284,0.9778264760971069,0.9186924695968628,?
es_ser_014,E5-multi,0.9311338067054749,0.8981689214706421,0.8940684199333191,0.9251898527145386,0.9918296337127686,0.9386475086212158,?
es_ser_015,E5-multi,0.9373215436935425,0.9346405863761902,0.9373214244842529,0.9346405267715454,0.9976742267608643,1.0,?
es_ser_016,E5-multi,0.8749696016311646,0.8788759708404541,0.8749696016311646,0.8788759708404541,0.9954842329025269,1.0,?
es_ser_017,E5-multi,0.9086517095565796,0.9115498065948486,0.9086517095565796,0.9115498065948486,0.9966440796852112,1.0,?
es_ser2_001,E5-multi,0.8616057634353638,0.9332349896430969,0.9300546646118164,0.8594738245010376,0.9972187280654907,0.895168125629425,non_flattening
es_ser2_003,E5-multi,0.9141212105751038,0.8907853364944458,0.8978495001792908,0.9069114327430725,0.9897058606147766,0.9361957311630249,non_flattening
es_ser2_004,E5-multi,0.9235795140266418,0.9200867414474487,0.9235795140266418,0.9200867414474487,0.9954204559326172,1.0,partial
es_ser2_005,E5-multi,0.8812759518623352,0.8857819437980652,0.8812759518623352,0.8857819437980652,0.9957897067070007,1.0000001192092896,partial
es_ser2_006,E5-multi,0.9027018547058105,0.9063025712966919,0.9027018547058105,0.9063025712966919,0.9969720840454102,1.0000001192092896,partial
es_ser2_007,E5-multi,0.949634313583374,0.9456004500389099,0.949634313583374,0.9456004500389099,0.992362916469574,1.0000001192092896,partial
es_ser2_008,E5-multi,0.9093676805496216,0.9254156947135925,0.9294581413269043,0.9074349999427795,0.9946933388710022,0.9511098861694336,partial
es_ser2_009,E5-multi,0.9434148073196411,0.9410355687141418,0.9434148073196411,0.9410355687141418,0.9976876378059387,1.0,partial
es_ser2_011,E5-multi,0.9427719712257385,0.9420126676559448,0.9427719712257385,0.9420126676559448,0.9963209629058838,1.0,partial
es_ser2_012,E5-multi,0.9042696952819824,0.8982949256896973,0.9042696952819824,0.8982949256896973,0.995467483997345,1.0000001192092896,partial
es_ser2_013,E5-multi,0.8743534684181213,0.8751391172409058,0.8743534684181213,0.8751391172409058,0.9924087524414062,1.0000001192092896,partial
es_ser2_014,E5-multi,0.9062294960021973,0.903925359249115,0.9062294960021973,0.903925359249115,0.9963995218276978,0.9999998807907104,partial
es_ser2_015,E5-multi,0.8908936977386475,0.8978528380393982,0.8908936977386475,0.8978527784347534,0.9952189326286316,1.0000001192092896,partial
es_ser2_016,E5-multi,0.8557035326957703,0.8668951988220215,0.8557035326957703,0.8668951988220215,0.9902793765068054,1.0,partial
es_ser2_017,E5-multi,0.8812426924705505,0.8834084868431091,0.8812426924705505,0.8834084868431091,0.9973006248474121,1.0000001192092896,partial
es_ser2_018,E5-multi,0.9360725283622742,0.9335556030273438,0.9360725283622742,0.9335556030273438,0.9978678226470947,0.9999998807907104,partial
es_ser2_019,E5-multi,0.8813501000404358,0.8865759372711182,0.8849533200263977,0.8815781474113464,0.9977797269821167,0.9922863841056824,non_flattening
es_ser2_020,E5-multi,0.8965145349502563,0.9521632194519043,0.9487114548683167,0.8937545418739319,0.9977312684059143,0.9078981280326843,non_flattening
es_ser2_021,E5-multi,0.9248871207237244,0.9283254146575928,0.9248870611190796,0.928325355052948,0.9955881237983704,1.0,partial
es_ser2_022,E5-multi,0.881170392036438,0.8568345904350281,0.8456306457519531,0.8867173194885254,0.995818018913269,0.9436675310134888,non_flattening
es_ser2_025,E5-multi,0.8865982294082642,0.9496580958366394,0.949736475944519,0.8777976036071777,0.9945435523986816,0.9050233960151672,non_flattening
es_ser2_026,E5-multi,0.9038254618644714,0.8837013244628906,0.8698263168334961,0.904829204082489,0.9920387268066406,0.9329827427864075,non_flattening
es_ser2_027,E5-multi,0.944212019443512,0.9382052421569824,0.9442120790481567,0.938205361366272,0.9967886209487915,1.0,partial
es_ser2_028,E5-multi,0.8696834444999695,0.8740596771240234,0.8696834444999695,0.8740596771240234,0.9972199201583862,1.0,partial
es_ser2_029,E5-multi,0.9150636196136475,0.9125588536262512,0.9150636196136475,0.9125590324401855,0.995436429977417,1.0000001192092896,partial
es_ser2_030,E5-multi,0.9528135657310486,0.9575173854827881,0.9528135657310486,0.9575173854827881,0.996820867061615,1.0000001192092896,partial
es_ser2_031,E5-multi,0.9059382677078247,0.9099703431129456,0.9059382677078247,0.9099703431129456,0.995527446269989,1.0000001192092896,partial
es_ser2_032,E5-multi,0.8618972301483154,0.8674643039703369,0.8618972301483154,0.8674643039703369,0.9939262866973877,1.0000001192092896,partial
es_ser2_033,E5-multi,0.8926395177841187,0.8935646414756775,0.895685613155365,0.8896484375,0.9965176582336426,0.9910207986831665,non_flattening
es_ser2_034,E5-multi,0.9226295948028564,0.9172908663749695,0.9226295948028564,0.9172908663749695,0.9975817203521729,0.9999999403953552,partial
es_ser2_036,E5-multi,0.8739731311798096,0.8730879426002502,0.8739731311798096,0.8730879426002502,0.9961764812469482,1.0,partial
es_ser2_037,E5-multi,0.8849402666091919,0.88437819480896,0.8849402666091919,0.88437819480896,0.9957079887390137,1.0000001192092896,partial
es_ser2_038,E5-multi,0.9531592130661011,0.937294065952301,0.9531592130661011,0.9372940063476562,0.993374228477478,1.0,partial
es_ser2_039,E5-multi,0.9412211179733276,0.9350253939628601,0.9412211179733276,0.9350253939628601,0.9959049224853516,1.000000238418579,partial
es_ser2_040,E5-multi,0.8951394557952881,0.8925949931144714,0.8951394557952881,0.8925949931144714,0.9992230534553528,0.9999998807907104,partial
es_ser2_041,E5-multi,0.9190148115158081,0.9181143641471863,0.9190148115158081,0.9181143641471863,0.9958931803703308,1.0,partial
es_ser2_042,E5-multi,0.8919884562492371,0.8855637311935425,0.8919884562492371,0.8855637311935425,0.9837638735771179,1.0000001192092896,partial
es_ser2_043,E5-multi,0.9209153652191162,0.9142535924911499,0.9209153652191162,0.9142535924911499,0.997087299823761,1.0,partial
es_ser2_044,E5-multi,0.9384726285934448,0.9342768788337708,0.9384726285934448,0.9342768788337708,0.9958418607711792,1.0,partial
es_ser2_045,E5-multi,0.8854920864105225,0.8888835906982422,0.8854920864105225,0.8888835906982422,0.991739809513092,1.0000001192092896,partial
es_ser2_046,E5-multi,0.9245913624763489,0.9281253814697266,0.9245913624763489,0.9281253814697266,0.9912937879562378,1.0,partial
es_ser2_047,E5-multi,0.8986268043518066,0.9081072211265564,0.9184529781341553,0.8872962594032288,0.993231475353241,0.985613226890564,non_flattening
es_ser2_048,E5-multi,0.8953614830970764,0.8914841413497925,0.8953614830970764,0.8914841413497925,0.995093584060669,1.000000238418579,partial
es_ser2_049,E5-multi,0.8928879499435425,0.8959074020385742,0.8928879499435425,0.8959074020385742,0.9966115951538086,1.0,partial
es_ser2_050,E5-multi,0.8971338272094727,0.8870662450790405,0.8971338272094727,0.8870662450790405,0.9970253705978394,0.9999999403953552,partial
es_ser2_052,E5-multi,0.9077013731002808,0.9152039885520935,0.9229630827903748,0.8973087072372437,0.99555504322052,0.9875315427780151,partial
es_ser2_053,E5-multi,0.8678079843521118,0.925885796546936,0.9131670594215393,0.8658531904220581,0.9944809675216675,0.9176610112190247,non_flattening
es_ser2_054,E5-multi,0.8974884748458862,0.8745636940002441,0.8577893972396851,0.9032524824142456,0.9942363500595093,0.9427214860916138,non_flattening
es_ser2_055,E5-multi,0.9030771255493164,0.8963851928710938,0.9030771255493164,0.896385133266449,0.9930059909820557,1.0,partial
es_ser2_056,E5-multi,0.9270124435424805,0.927188515663147,0.9270124435424805,0.927188515663147,0.9972264766693115,1.0,partial
es_ser2_057,E5-multi,0.9580725431442261,0.953321099281311,0.9580725431442261,0.953321099281311,0.9939044713973999,1.0,partial
es_ser2_058,E5-multi,0.8681730628013611,0.8645370006561279,0.8681730628013611,0.8645370006561279,0.9947264790534973,1.0000001192092896,partial
es_ser2_060,E5-multi,0.9416444301605225,0.9366263747215271,0.9416444301605225,0.9366263747215271,0.9984660744667053,1.0000001192092896,partial
es_ser2_061,E5-multi,0.9181156754493713,0.9183738231658936,0.9181156754493713,0.9183738231658936,0.9959012269973755,1.000000238418579,partial
es_ser2_062,E5-multi,0.9538659453392029,0.9429255723953247,0.9538659453392029,0.9429255723953247,0.9952430725097656,1.0,partial
es_ser2_063,E5-multi,0.9365562200546265,0.9355921745300293,0.9365562200546265,0.9355921745300293,0.997340977191925,1.0,partial
es_ser2_064,E5-multi,0.8993488550186157,0.8890713453292847,0.8993488550186157,0.8890713453292847,0.9779027700424194,1.0,partial
es_ser2_065,E5-multi,0.925275981426239,0.9169376492500305,0.9252760410308838,0.9169378280639648,0.9967446327209473,1.0,partial
es_ser2_066,E5-multi,0.9487936496734619,0.9397966861724854,0.9487936496734619,0.9397966861724854,0.9956755638122559,1.0000001192092896,partial
es_ser2_067,E5-multi,0.918547511100769,0.8795509338378906,0.8742464184761047,0.9176722764968872,0.9962743520736694,0.9379520416259766,non_flattening
es_ser2_068,E5-multi,0.882055401802063,0.8979844450950623,0.8924258947372437,0.887306809425354,0.9962623119354248,0.9888131618499756,non_flattening
es_ser2_069,E5-multi,0.8893224000930786,0.9078373908996582,0.913291871547699,0.8777250647544861,0.9939540028572083,0.9277400970458984,non_flattening
es_ser2_070,E5-multi,0.8997907042503357,0.8968769907951355,0.8945601582527161,0.8955808877944946,0.9956817626953125,0.9521534442901611,partial
es_ser2_071,E5-multi,0.8634030818939209,0.8905420303344727,0.8892374038696289,0.864845871925354,0.9986134767532349,0.9472832083702087,partial
es_ser2_072,E5-multi,0.9426694512367249,0.9320898652076721,0.9426694512367249,0.9320898652076721,0.9964061975479126,1.0000001192092896,partial
es_ser2_073,E5-multi,0.9046469926834106,0.9017734527587891,0.9046469926834106,0.9017734527587891,0.9991447329521179,0.9999998807907104,partial
es_ser2_074,E5-multi,0.9025101065635681,0.9005475044250488,0.9025101065635681,0.9005475044250488,0.996603786945343,1.0,partial
es_ser2_075,E5-multi,0.8630658388137817,0.8600260019302368,0.8630658388137817,0.8600260019302368,0.9952549934387207,1.0000001192092896,partial
es_ser2_076,E5-multi,0.8975279927253723,0.8992549180984497,0.8975279927253723,0.8992549180984497,0.995721161365509,1.0,partial
es_ser2_077,E5-multi,0.9085136651992798,0.917364776134491,0.9085136651992798,0.917364776134491,0.987647294998169,1.000000238418579,partial
es_ser2_078,E5-multi,0.9129441976547241,0.8987843990325928,0.8972126245498657,0.9112043976783752,0.9976372122764587,0.9787194728851318,partial
es_ser2_079,E5-multi,0.9092123508453369,0.9104683995246887,0.9187390804290771,0.901397705078125,0.9958192706108093,0.9588506817817688,partial
es_ser2_080,E5-multi,0.8785784244537354,0.8822459578514099,0.8785784244537354,0.8822459578514099,0.9952670335769653,1.0,partial
es_ser2_081,E5-multi,0.9337371587753296,0.9306395053863525,0.9337372183799744,0.9306395649909973,0.9978556632995605,1.0,partial
es_ser2_083,E5-multi,0.9208112955093384,0.8947864770889282,0.8855162858963013,0.9191097617149353,0.9937924742698669,0.9398998022079468,partial
es_ser2_084,E5-multi,0.8935520648956299,0.8976648449897766,0.8931987285614014,0.894650936126709,0.9973673224449158,0.9578496217727661,partial
es_ser2_085,E5-multi,0.833998441696167,0.8826473951339722,0.8802807331085205,0.8297403454780579,0.9974716901779175,0.8719069957733154,partial
es_ser2_087,E5-multi,0.8882002234458923,0.8947973251342773,0.8882002234458923,0.8947973251342773,0.9953670501708984,0.9999998807907104,partial
es_ser2_088,E5-multi,0.8735615015029907,0.9339489936828613,0.9351590871810913,0.8767910003662109,0.9975576400756836,0.9189101457595825,partial
es_ser2_089,E5-multi,0.9065691828727722,0.8791599273681641,0.8769289255142212,0.9022799134254456,0.9926142692565918,0.9467502236366272,non_flattening
es_ser2_090,E5-multi,0.9397767782211304,0.9350491166114807,0.9397767782211304,0.9350491166114807,0.9973962903022766,1.0,partial
es_ser2_091,E5-multi,0.9019096493721008,0.9078297019004822,0.9095546007156372,0.8993154764175415,0.997444748878479,0.9887285232543945,non_flattening
es_ser2_093,E5-multi,0.8932816982269287,0.9186933040618896,0.9041471481323242,0.906571626663208,0.9918824434280396,0.9816312789916992,partial
es_ser2_095,E5-multi,0.9112832546234131,0.9509179592132568,0.9515101909637451,0.9073992371559143,0.9990222454071045,0.9586491584777832,non_flattening
es_ser2_097,E5-multi,0.9419049620628357,0.9386640787124634,0.9419049620628357,0.9386640787124634,0.9981257319450378,1.0,partial
es_ser2_099,E5-multi,0.9279172420501709,0.9284164905548096,0.9279172420501709,0.9284164905548096,0.9963558316230774,1.0,partial
es_ser2_101,E5-multi,0.9235311150550842,0.8707760572433472,0.876721978187561,0.8452721834182739,0.9188617467880249,0.9132757186889648,non_flattening
es_ser2_102,E5-multi,0.9032881259918213,0.9022390842437744,0.9046278595924377,0.9005998373031616,0.9987094402313232,0.995184063911438,non_flattening
es_ser2_103,E5-multi,0.873412013053894,0.9095985889434814,0.9069600105285645,0.8714041113853455,0.9989192485809326,0.9418528079986572,non_flattening
es_ser2_105,E5-multi,0.8821450471878052,0.8849506974220276,0.8821450471878052,0.8849506974220276,0.9969688653945923,1.0,partial
es_ser2_106,E5-multi,0.9401094913482666,0.9392181634902954,0.9401094913482666,0.9392181634902954,0.9958130121231079,0.9999999403953552,partial
es_ser2_107,E5-multi,0.9467203617095947,0.9363178014755249,0.9467203617095947,0.9363178014755249,0.9951924085617065,0.9999999403953552,partial
es_ser2_108,E5-multi,0.9424547553062439,0.9484293460845947,0.9424547553062439,0.9484293460845947,0.994581937789917,1.0000001192092896,partial
es_ser2_109,E5-multi,0.9021465182304382,0.8981687426567078,0.9021465182304382,0.8981687426567078,0.9947874546051025,1.0,partial
es_ser2_110,E5-multi,0.9313809871673584,0.9401012063026428,0.9313809871673584,0.9401012063026428,0.9933184385299683,1.0,partial
es_ser_001,E5-large,0.9336581230163574,0.9069974422454834,0.9336581230163574,0.9069974422454834,0.9871090054512024,0.9999999403953552,?
es_ser_002,E5-large,0.9478371143341064,0.94618821144104,0.9478371143341064,0.94618821144104,0.9973980188369751,1.0,?
es_ser_003,E5-large,0.926996111869812,0.9222445487976074,0.926996111869812,0.9222445487976074,0.9955180287361145,1.0,?
es_ser_004,E5-large,0.9025444388389587,0.9020596146583557,0.9025445580482483,0.9020594954490662,0.9974844455718994,0.9999999403953552,?
es_ser_005,E5-large,0.9109625816345215,0.9126854538917542,0.9109625816345215,0.9126854538917542,0.9979407787322998,1.000000238418579,?
es_ser_006,E5-large,0.9388495087623596,0.9216257333755493,0.9388495087623596,0.9216257333755493,0.9920239448547363,0.9999998807907104,?
es_ser_007,E5-large,0.9502131342887878,0.9479349255561829,0.9502131342887878,0.9479349255561829,0.9980325102806091,0.9999998807907104,?
es_ser_008,E5-large,0.9217715263366699,0.9244366884231567,0.9217715263366699,0.9244366884231567,0.9981990456581116,0.9999999403953552,?
es_ser_009,E5-large,0.9086580276489258,0.8832768201828003,0.9086580276489258,0.8832768201828003,0.9882072806358337,1.0000001192092896,?
es_ser_010,E5-large,0.8993135690689087,0.9048413038253784,0.8993135690689087,0.9048413038253784,0.9979633092880249,1.000000238418579,?
es_ser_011,E5-large,0.9253177046775818,0.9304513931274414,0.9253177046775818,0.9304513931274414,0.9954546689987183,0.9999999403953552,?
es_ser_012,E5-large,0.9142339825630188,0.902888298034668,0.8988821506500244,0.9025988578796387,0.9961908459663391,0.957737922668457,?
es_ser_013,E5-large,0.8907960653305054,0.9436603784561157,0.9505956768989563,0.8714361190795898,0.993100106716156,0.9169878363609314,?
es_ser_014,E5-large,0.925202488899231,0.9028436541557312,0.885991096496582,0.9075857400894165,0.9847359657287598,0.9279983043670654,?
es_ser_015,E5-large,0.9462393522262573,0.9457204341888428,0.9462393522262573,0.9457204341888428,0.9969459176063538,1.000000238418579,?
es_ser_016,E5-large,0.8779780864715576,0.8795217871665955,0.8779780864715576,0.8795217871665955,0.9964618682861328,1.0,?
es_ser_017,E5-large,0.9322818517684937,0.9325323104858398,0.9322818517684937,0.9325323104858398,0.9983833432197571,1.0,?
es_ser2_001,E5-large,0.8334590196609497,0.9270683526992798,0.920517086982727,0.8293759226799011,0.9974536895751953,0.8876581788063049,non_flattening
es_ser2_003,E5-large,0.922614574432373,0.9152345657348633,0.9046612977981567,0.9105749726295471,0.9925808310508728,0.9273746609687805,non_flattening
es_ser2_004,E5-large,0.9315122365951538,0.9344128966331482,0.9315122365951538,0.9344128966331482,0.9901752471923828,1.0000001192092896,partial
es_ser2_005,E5-large,0.9125083684921265,0.9103665351867676,0.9125083684921265,0.9103665351867676,0.9975432753562927,1.000000238418579,partial
es_ser2_006,E5-large,0.9040618538856506,0.9066251516342163,0.9040618538856506,0.9066251516342163,0.9981601238250732,0.9999999403953552,partial
es_ser2_007,E5-large,0.9350831508636475,0.9358724355697632,0.9350831508636475,0.9358724355697632,0.9947495460510254,1.000000238418579,partial
es_ser2_008,E5-large,0.9325317144393921,0.9253607988357544,0.9251062273979187,0.9314117431640625,0.9959988594055176,0.9780193567276001,partial
es_ser2_009,E5-large,0.9339667558670044,0.9355469942092896,0.9339667558670044,0.9355469942092896,0.9976803064346313,1.0000001192092896,partial
es_ser2_011,E5-large,0.9443637728691101,0.9422324895858765,0.9443637728691101,0.9422324895858765,0.9973539710044861,0.9999998807907104,partial
es_ser2_012,E5-large,0.9297699332237244,0.92608642578125,0.9297699332237244,0.92608642578125,0.9963600635528564,1.0,partial
es_ser2_013,E5-large,0.9437946677207947,0.93686842918396,0.9437946677207947,0.93686842918396,0.9970840215682983,0.9999998807907104,partial
es_ser2_014,E5-large,0.909549355506897,0.9079307317733765,0.909549355506897,0.9079307317733765,0.9971370697021484,1.0000001192092896,partial
es_ser2_015,E5-large,0.9269688129425049,0.9271061420440674,0.9269687533378601,0.9271061420440674,0.9976305365562439,1.000000238418579,partial
es_ser2_016,E5-large,0.8950398564338684,0.8945605158805847,0.8950398564338684,0.8945605158805847,0.9782133102416992,1.0000001192092896,partial
es_ser2_017,E5-large,0.924628496170044,0.9250099658966064,0.924628496170044,0.9250099658966064,0.9973573684692383,1.000000238418579,partial
es_ser2_018,E5-large,0.9324713349342346,0.9352882504463196,0.9324713349342346,0.9352882504463196,0.9951040744781494,1.0000001192092896,partial
es_ser2_019,E5-large,0.9233140349388123,0.9125931262969971,0.9069922566413879,0.913110613822937,0.995930016040802,0.9553539752960205,non_flattening
es_ser2_020,E5-large,0.8593613505363464,0.9392585754394531,0.9329913854598999,0.8502340316772461,0.9970956444740295,0.886316180229187,non_flattening
es_ser2_021,E5-large,0.9397188425064087,0.9309567213058472,0.9397188425064087,0.9309568405151367,0.9895734786987305,1.0,partial
es_ser2_022,E5-large,0.9135380983352661,0.8795700073242188,0.8536012172698975,0.9172190427780151,0.9829256534576416,0.9179297685623169,non_flattening
es_ser2_025,E5-large,0.9027072787284851,0.9487266540527344,0.9524766206741333,0.8752241730690002,0.9907702207565308,0.9171521663665771,non_flattening
