triplet_id,language,category,flattening,model,condition,sim_anchor_near,sim_anchor_far,cos_gap,correct
es_ser_014,spanish,ser_vs_estar,non_flattening,LaBSE,native,0.8995354771614075,0.9823875427246094,-0.0828520655632019,0
es_ser_015,spanish,ser_vs_estar,partial,LaBSE,native,0.9420346021652222,0.9966102838516235,-0.05457568168640137,0
es_ser_016,spanish,ser_vs_estar,partial,LaBSE,native,0.886152446269989,0.9959083795547485,-0.10975593328475952,0
es_ser_017,spanish,ser_vs_estar,partial,LaBSE,native,0.9064619541168213,0.9979426860809326,-0.09148073196411133,0
es_for_001,spanish,formality,strong,LaBSE,native,0.9633179903030396,0.9336281418800354,0.02968984842300415,1
es_for_002,spanish,formality,strong,LaBSE,native,0.9520028829574585,0.845084547996521,0.1069183349609375,1
es_for_003,spanish,formality,strong,LaBSE,native,0.9722576141357422,0.9925873279571533,-0.020329713821411133,0
es_for_004,spanish,formality,strong,LaBSE,native,0.9855078458786011,0.9585978388786316,0.026910006999969482,1
es_for_005,spanish,formality,strong,LaBSE,native,0.9977116584777832,0.9678826928138733,0.029828965663909912,1
es_for_006,spanish,formality,strong,LaBSE,native,0.9846766591072083,0.9161146283149719,0.06856203079223633,1
es_for_007,spanish,formality,strong,LaBSE,native,0.8465055823326111,0.9677722454071045,-0.12126666307449341,0
es_for_008,spanish,formality,strong,LaBSE,native,0.9346141815185547,0.9750908613204956,-0.04047667980194092,0
es_for_009,spanish,formality,strong,LaBSE,native,0.9256784915924072,0.9946257472038269,-0.06894725561141968,0
es_for_010,spanish,formality,strong,LaBSE,native,0.9323393702507019,0.9724169969558716,-0.04007762670516968,0
es_for_011,spanish,formality,strong,LaBSE,native,0.938210129737854,0.9465566873550415,-0.0083465576171875,0
es_for_012,spanish,formality,strong,LaBSE,native,0.9339615106582642,0.9699954390525818,-0.03603392839431763,0
es_for_013,spanish,formality,strong,LaBSE,native,0.9667216539382935,0.9662201404571533,0.0005015134811401367,1
es_for_014,spanish,formality,strong,LaBSE,native,0.9139940738677979,0.8628146052360535,0.051179468631744385,1
es_for_015,spanish,formality,strong,LaBSE,native,0.9168532490730286,0.9970070719718933,-0.08015382289886475,0
es_for_016,spanish,formality,strong,LaBSE,native,0.9699180722236633,0.9908137321472168,-0.020895659923553467,0
